target_indicator_id;plain;value_explanation
dem:BIRTHRATE;Conta i nati vivi ogni mille residenti in un anno. Dipende sia dalla fecondita sia dalla struttura per eta della popolazione, cioe da quante persone sono in eta fertile.;Espresso per mille abitanti. Nel 2024 va dal 4,5 della Sardegna al 7,6 del Trentino Alto Adige, con Campania a 7,4 e Sicilia a 7,0. Media semplice delle regioni 6,0.
dem:GROWTHRATEN;Differenza fra nati vivi e morti in un anno, ogni mille abitanti. Positiva se le nascite superano i decessi.;Espressa per mille abitanti. Nel 2024 tutte le venti regioni sono sotto zero, dal -1,4 del Trentino Alto Adige al -8,4 della Liguria.
dem:GROWTHRATET;Somma della crescita naturale e del saldo migratorio (interno ed estero) in un anno, ogni mille abitanti. È il bilancio complessivo della popolazione regionale.;Espresso per mille abitanti. Nel 2024 va da -6,1 della Basilicata a +3,3 del Trentino Alto Adige, con Emilia-Romagna a +2,3.
dem:LIFEEXP65F;Anni di vita attesi per una donna che ha già compiuto 65 anni, calcolati sulle tavole di mortalità regionali. Misura la sopravvivenza nella terza età.;Espressa in anni. Nel 2024 va da 21,5 della Campania a 23,8 del Trentino Alto Adige, con Veneto a 23,3 e Marche a 23,2.
dem:LIFEEXP65M;Anni di vita attesi per un uomo che ha già compiuto 65 anni, calcolati sulle tavole di mortalità regionali. Misura la sopravvivenza nella terza età.;Espressa in anni. Nel 2024 va da 18,7 della Campania a 20,8 del Trentino Alto Adige, con Umbria a 20,5 e Marche a 20,4.
dem:MARRATE;Numero di matrimoni celebrati in un anno ogni mille residenti, di qualsiasi rito o forma.;Espresso per mille abitanti. Nel 2024 va dal 2,5 della Sardegna al 3,5 del Trentino Alto Adige, con Campania e Sicilia al 3,4.
dem:MEANAGECH;Età media delle donne al momento del parto, calcolata sui nati vivi dell'anno.;Espressa in anni. Nel 2024 va dal 31,7 della Sicilia al 33,2 di Lazio, Basilicata e Sardegna.
dem:NMIGRATEAB;Differenza fra chi arriva dall'estero e chi parte per l'estero, ogni mille abitanti. Diverso dal saldo migratorio interno, che riguarda solo gli spostamenti fra regioni italiane.;Espresso per mille abitanti. Nel 2024 va da 1,5 della Sardegna a 8,1 del Molise, con Liguria a 7,5.
dem:NMIGRATEIN;Differenza tra chi si trasferisce in una regione e chi la lascia per altre regioni italiane, ogni mille abitanti. Positivo dove il territorio attrae e trattiene residenti.;Espresso per mille abitanti. Nel 2024 va dal -4,8 della Basilicata al +2,6 dell'Emilia-Romagna, con Piemonte a +2,1 e Calabria a -4,4. Positivo al Nord e al Centro, negativo nel Mezzogiorno tranne l'Abruzzo.
dem:OLDAGEDEPR;Rapporta i residenti dai 65 anni in su a quelli tra i 15 e i 64. Misura quanto pesa la parte anziana della popolazione su quella in eta da lavoro.;Espressa in percentuale. Nel 2025 va dal 32,7 della Campania al 48,3 della Liguria, cioe da circa 33 a circa 48 persone dai 65 anni in su ogni cento tra i 15 e i 64.
dem:POP014;Quota di residenti fra 0 e 14 anni sul totale della popolazione, al 1 gennaio. Misura quanto una regione è giovane in senso demografico.;Espressa in percentuale. Nel 2025 va dal 9,7 della Sardegna al 13,9 del Trentino Alto Adige, con Campania al 13,3.
dem:POP1564;Quota di residenti in età lavorativa, fra 15 e 64 anni, sul totale della popolazione, al 1 gennaio.;Espressa in percentuale. Nel 2025 va dal 60,5 della Liguria al 65,4 della Campania, con Lazio al 64,3.
dem:POP65OVER;Quota di residenti che hanno 65 anni o più sul totale della popolazione, al 1 gennaio. Misura quanto una regione è anziana in senso demografico.;Espressa in percentuale. Nel 2025 va dal 21,4 della Campania al 29,2 della Liguria, con Friuli-Venezia Giulia e Sardegna al 27,5.
eur:rd_e_gerdreg;Misura quanto ogni regione investe in ricerca e sviluppo in rapporto al proprio PIL. Un valore alto indica un sistema produttivo e pubblico che punta su innovazione e conoscenza.;Espressa come percentuale del PIL regionale. Nel 2023 va dallo 0,53 della Valle d'Aosta al 2,09 di Emilia-Romagna e Piemonte.
eur:rd_p_persreg;Conta gli addetti a ricerca e sviluppo, in equivalenti a tempo pieno, rispetto alla popolazione attiva. Un valore alto segnala un territorio ricco di competenze di ricerca.;Espressa come percentuale della popolazione attiva, in equivalenti a tempo pieno. Nel 2023 va dallo 0,50 della Calabria al 2,06 dell'Emilia-Romagna, con Lazio a 1,68 e Friuli-Venezia Giulia a 1,64 subito dietro.
